"id","Раунд","Турнир (название)","Турнир (формат)","Турнир (город)","Дата","Резолюция","Тематика (подблок)","Есть видео в
видеотеке"
"426","R1","WUDC 2018","WUDC","???","2017.12-2018.01","THW ban all communication tech companies (such as Google, Apple, Facebook, Whatsapp, etc.) from encrypting their user data, including the content of their communications, in such a way that the company can not retrieve that data even under a court order.","302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
501. Конфликтология и/или безопасность. Прослушка и проч. (+ privacy)",""
"427","R2","WUDC 2018","WUDC","???","2017.12-2018.01","For the purpose of this debate, «job security legislation» refers to laws intended to make businesses fire employees less often. Its goal is to disincentives the termination of existing employees whether the busyness employs an alternative individual to replace them or not.
Examples of this legislation include, but are not limited to increased severance pay and detailed cause requirements for terminating employment. Protection against discriminatory termination or similar laws do not fall under this term.
This House supports job security legislation.

","305. Действие. Стимул работать..
401. Неравенство и бедность (безусловный базовый доход)
404. Трудовые права.",""
"428","R3","WUDC 2018","WUDC","???","2017.12-2018.01","The current criterion in the US as to whether the police officer used excessive force is whether he acted reasonably given his perspective at the time and without the benefit of hindsight.
Academic research has shown that when using this criterion, juries consistently conclude that officers harming or killing black individuals acted reasonably in almost all circumstances.

THW redefine the criterion of excessive force to be any use of beyond what is reasonable given all the facts of the case, including the benefit of hindsight (e.g whether the individual had a gun, not whether it is reasonable to believe he had a gun)","501. Конфликтология. Давление..
501. Конфликтология. Давление (полиция и спецслужбы)
501. Конфликтология. Давление (самооборона / месть: огнестрел)
614. Расизм",""
"429","R4","WUDC 2018","WUDC","???","2017.12-2018.01","The art that you see in a museum typically comes from one of the following sources: I) that museum's permanent collection that's always on display II) that museum's permanent collection that is mostly kept in storage and may occasionally be displayed (the largest museums usually display as little as 5% of their collections); III) pieces lent to that museum on a temporary basis by another museum IV) pieces donated or lent by private individuals or institutions.

This house would limit the amount of time that a museum can display a given piece of art to 3 months out of every 10 year period, rather than allow museums to display their works as long as they choose.
","733. Развлечения. Искусство и культура",""
"430","R5","WUDC 2018","WUDC","???","2017.12-2018.01","THW allow citizens to vote on individual bills in place of their elected representatives, either their representative retaining the voting power of those of their constituents who did not directly vote on that specific bill.
","502. Демократия и авторитаризм. Эксперты vs. народ. Референдум",""
"431","R6","WUDC 2018","WUDC","???","2017.12-2018.01","CRISPR is currently only existing technology that allows cheap, fast and targeted gene editing in living organisms.
It potentially allows for heritable* changes though so far very little research on such heritable changes in humans has occurred.
*heritable changes are changes that can be passed on from parents to their children.

THBT all States should mandate that research on and use of CRISPR technology be exclusively carried out by institutions funded entirely by the state

","401. Неравенство и/или экономический рост
403. Управление (государство, частник, НКО)
601. Ущемляемые
722. Технологии. Клонирование и генная инженерия",""
"432","R7","WUDC 2018","WUDC","???","2017.12-2018.01","This House, as Iran, would cease all support for militant groups in the Middle East (e.g. Hezbollah, Hamas, Houthis, etc.)
","501. Конфликтология. Влияние (международка)
501. Конфликтология. Давление (война)
806. Большой Ближний Восток. Иран",""
"433","R8","WUDC 2018","WUDC","???","2017.12-2018.01","TH prefers a world in which all individuals who have achieved a middle class standard of living choose to pursue the highest level of achievement in their chosen career, rather than a world in which those individuals prioritise day-to-day enjoyment over work
","302. Эмоции..
305. Действие. Стимул работать..",""
"434","R9","WUDC 2018","WUDC","???","2017.12-2018.01","This House Would not allow out of court settlements for workplace discrimination and harassment.
","306. Действие. Иррациональный / несвободный выбор.
501. Конфликтология и/или безопасность и/или функции уголовной ответственности
501. Конфликтология. Давление..
611. Гендерное неравенство. Права женщин (феминизм)
612. Лукизм (+ Сексуальная объективация + Сексуальное насилие)",""
"435","Игра между двумя командами за 8-е место в EFL-брейке","WUDC 2018","WUDC","???","2017.12-2018.01","This house regrets the democratisation of news creation and distribution.

","721. Информационная сфера. СМИ и свобода слова",""
