"id","Раунд","Турнир (название)","Турнир (формат)","Турнир (город)","Дата","Резолюция","Тематика (подблок)","Автор / соавтор / предложил тему","Есть видео в
видеотеке"
"1","Ф","V ОК МГЮА","Открытый","Москва","2008.","ЭП бойкотирует олимпийские игры в Пекине","501. Конфликтология. Давление (санкции)
502. Демократия и авторитаризм..
601. Ущемляемые
732. Спорт
805. Восточная Азия (АТР). Китай","",""
"4","","Игра вне турнира","Игра вне турнира","-","2009.","ЭП отменит все ограничения на миграцию","731. Миграция и демография. Миграция, беженцы, мобильность","",""
"5","Р1","Fire 2009","Открытый","Харьков (Украина)","2009.03","ЭП должна ввести налог на роскошь","202. Перераспределение (почему именно его обязываем)
305. Действие. Стимул работать..
401. Неравенство и/или экономический рост","",""
"6","Р2","Fire 2009","Открытый","Харьков (Украина)","2009.03","ЭПСЧ профессиональные спортсмены не должны освобождаться от общей воинской повинности","732. Спорт","",""
"7","Р3","Fire 2009","Открытый","Харьков (Украина)","2009.03","ЭП предаст земле тело Ленина","301. Вера. Формирование убеждений
811. История.","",""
"8","Р4","Fire 2009","Открытый","Харьков (Украина)","2009.03","ЭП должна разрешить трансплантацию органов или тканей в тех случаях, когда другие медицинские средства могут гарантировать сохранение жизни реципиента","306. Действие. Иррациональный / несвободный выбор.
724. Медицина. Донорство","",""
"9","Р5","Fire 2009","Открытый","Харьков (Украина)","2009.03","ЭП должна отказаться от разработки искусственного интеллекта","722. Технологии. Роботы, ИИ","",""
"10","Р6","Fire 2009","Открытый","Харьков (Украина)","2009.03","ЭПСЧ при отказе в выдаче визы просителю всегда должны быть указаны причины","731. Миграция и демография","",""
"11","Ф мастеров","Fire 2009","Открытый","Харьков (Украина)","2009.03","ЭПСЧ в отношении стран, не подписавших договор о запрещении кассетных боеприпасов, допустимо нарушение правил и обычаев войны","501. Конфликтология. Давление (война)
501. Конфликтология. Давление (самооборона / месть)","",""
"12","Ф женский","Fire 2009","Открытый","Харьков (Украина)","2009.03","ЭПСЧ однополые супруги должны иметь право усыновлять детей","613. ЛГБТ+
713. Дети. Детдома, усыновление
713. Дети. Воспитание, лишение родит. прав","",""
"13","Фмк","Fire 2009","Открытый","Харьков (Украина)","2009.03","ЭПСЧ врач должен сообщать родителям несовершеннолетней девушки о ее намерении сделать аборт","713. Дети. Родители и дети
714. Деторождение. Аборт","",""
"14","ЧФ","Fire 2009","Открытый","Харьков (Украина)","2009.03","ЭПСЧ заключенные должны обладать правом избирать","501. Конфликтология и/или безопасность и/или функции уголовной ответственности
502. Демократия и авторитаризм. Право голоса
503. Идентичность и/или Интеграция
501. Конфликтология. Общество насилия.
617. Преступники / бывшие заключённые","",""
"15","ПФ","Fire 2009","Открытый","Харьков (Украина)","2009.03","ЭПСЧ Франция не должна возобновлять своё участие в военных структурах НАТО","501. Конфликтология. Давление (вооружённые силы)
801. Запад..","",""
"16","Ф","Fire 2009","Открытый","Харьков (Украина)","2009.03","ЭПСЧ поддержка банковской системы важнее финансирования социальных программ","404. Трудовые права.
405. Макроэкономика. Кризис","",""
"18","","I ОТ МГТУ им. Баумана","Открытый","Москва","2009.10","ЭП запретит производство фильмов ужасов","302. Эмоции..
304. Привыкание VS. возбуждение / накопление
733. Развлечения. Искусство и культура","",""
"19","","I ОТ МГТУ им. Баумана","Открытый","Москва","2009.10","ЭПСЧ ветровая энергия лучше ядерной","407. Рынок энергетики и ресурсов
726. Экология","",""
"20","","I ОТ МГТУ им. Баумана","Открытый","Москва","2009.10","ЭП введет уголовную ответственность за употребление наркотиков","306. Действие. Иррациональный / несвободный выбор.
724. Медицина. Наркотики","",""
"21","Ф (рус.)","I ОТ МГТУ им. Баумана","Открытый","Москва","2009.10","ЭП восстановит все демонтированные по политическим основаниям памятники советской эпохи в России","501. Конфликтология. Влияние (международка)
503. Идентичность и/или Интеграция
802. Россия. Политика и общество","",""
"22","Ф (eng.)","I ОТ МГТУ им. Баумана","Открытый","Москва","2009.10","ЭП даст людям с высшим образованием дополнительные голоса на выборах","202. Перераспределение.
502. Демократия и авторитаризм. Право голоса
723. Образование","",""
"23","Р1","II Первый кубок 2010","-","Новосибирск","2010.02","ЭП введет процедуру персональной идентификации всех пользователей при выходе в Интернет","302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
501. Конфликтология и/или безопасность. Прослушка и проч. (+ privacy)
602. Право на нетерпимость (свобода слова)
722. Технологии. Интернет, хакеры","",""
"24","Р2","II Первый кубок 2010","-","Новосибирск","2010.02","ЭП будет требовать от государств, на территории которых происходят экологические катастрофы по вине человека, финансировать международные экологические организации","726. Экология","",""
"25","Р3","II Первый кубок 2010","-","Новосибирск","2010.02","ЭП запретит вещание специализированных детских телеканалов","713. Дети. Родители и дети","",""
"26","Р4","II Первый кубок 2010","-","Новосибирск","2010.02","ЭПСЧ Олимпийские игры не должны финансироваться налогоплательщиками","732. Спорт","",""
"27","ПФ","II Первый кубок 2010","-","Новосибирск","2010.02","ЭП считает необходимым согласие на аборт отца ребенка","714. Деторождение. Аборт","",""
"28","Ф","II Первый кубок 2010","-","Новосибирск","2010.02","ЭП запретит все виды порнографии","711. Секс. Порно","",""
"29","Р1","II тур МЛЧ 2009/2010 гг.","Для новичков","Москва","2010.02","ЭПСЧ бизнес должен содержать науку","403. Управление (государство, частник, НКО)
722. Технологии. Наука и эксперименты","",""
"30","Р2","II тур МЛЧ 2009/2010 гг.","Для новичков","Москва","2010.02","ЭП приватизирует государственные банки (Одна из трёх тем по жребию)","403. Управление (государство, частник, НКО)
405. Макроэкономика. Кризис","",""
"31","Р2","II тур МЛЧ 2009/2010 гг.","Для новичков","Москва","2010.02","ЭП поддерживает профессиональную армию (Одна из трёх тем по жребию)","501. Конфликтология. Давление (вооружённые силы)","",""
"32","Р2","II тур МЛЧ 2009/2010 гг.","Для новичков","Москва","2010.02","ЭПСЧ старость должна быть обеспечена государством (Одна из трёх тем по жребию)","202. Перераспределение (кому мы должны помочь)
305. Действие. Стимул работать..
306. Действие. Иррациональный / несвободный выбор.
401. Неравенство и бедность (пенсии)
403. Управление (государство, частник, НКО)","",""
"33","Р1","II Зимний кубок 2010","Открытый","Новосибирск","2010.02","ЭПСЧ процентные ставки по ипотечным кредитам должны устанавливаться государством","403. Управление (государство, частник, НКО)
405. Макроэкономика. Кризис
409. Рынок жилья","",""
"34","Р2","II Зимний кубок 2010","Открытый","Новосибирск","2010.02","ЭПСЧ государство не должно финансировать строительство объектов инфраструктуры для проведения международных конференций","403. Управление (государство, частник, НКО)
501. Конфликтология. Влияние (международка)","",""
"35","Р3","II Зимний кубок 2010","Открытый","Новосибирск","2010.02","ЭП закроет Байкальский ЦБК","404. Трудовые права.
726. Экология
802. Россия. Политика и общество","",""
"36","Р4","II Зимний кубок 2010","Открытый","Новосибирск","2010.02","ЭП отменит любые льготы для поступающих в вузы","723. Образование","",""
"37","Р5","II Зимний кубок 2010","Открытый","Новосибирск","2010.02","ЭП отменит бесплатное медицинское обслуживание для людей с вредными привычками","306. Действие. Иррациональный / несвободный выбор.
724. Медицина. Алкоголь, табак и проч.","",""
"38","Р6","II Зимний кубок 2010","Открытый","Новосибирск","2010.02","ЭПСЧ дети при разводе не должны оставаться с разными родителями","713. Дети. Родители и дети","",""
"39","Р7","II Зимний кубок 2010","Открытый","Новосибирск","2010.02","ЭП запретит жестокие компьютерные игры","304. Привыкание VS. возбуждение / накопление
306. Действие. Иррациональный / несвободный выбор.
733. Развлечения. Компьютерные игры, VR","",""
"40","ПФ","II Зимний кубок 2010","Открытый","Новосибирск","2010.02","ЭП запретит призывы к бойкоту выборов","501. Конфликтология. Влияние (единство)
502. Демократия и авторитаризм..
503. Идентичность и/или Интеграция","",""
"41","Ф","II Зимний кубок 2010","Открытый","Новосибирск","2010.02","ЭП введёт обязательную воинскую службу для женщин","501. Конфликтология. Давление (вооружённые силы)
501. Конфликтология. Общество насилия (маскулинность / милитаризм)
503. Идентичность и/или Интеграция
611. Гендерное неравенство. Права женщин (феминизм)
611. Гендерное неравенство. Права мужчин","",""
"42","Р1","II тур МЛЧ 2009/2010 гг.","Для новичков","Москва","2010.02","ЭПСЧ необходимо предусмотреть возможность исключения стран из Еврозоны","405. Макроэкономика. Кризис
406. Валюта (единая)
501. Конфликтология. Влияние (международка)
501. Конфликтология. Влияние (единство: сепаратизм / интеграция)
501. Конфликтология. Давление (санкции)
801. Запад. Европа и/или ЕС.","",""
"43","Р2","II тур МЛЧ 2009/2010 гг.","Для новичков","Москва","2010.02","ЭП восстановит авиасообщение с Грузией (Одна из трёх тем по жребию)","501. Конфликтология. Влияние (международка)
501. Конфликтология. Давление (санкции)
804. Центральная Азия и/или Закавказье","",""
"44","Р2","II тур МЛЧ 2009/2010 гг.","Для новичков","Москва","2010.02","ЭПСЧ Россия не должна подписывать СНВ-3 (Одна из трёх тем по жребию)","501. Конфликтология. Давление (ядерное оружие)
802. Россия. Внешняя политика","",""
"45","Р2","II тур МЛЧ 2009/2010 гг.","Для новичков","Москва","2010.02","ЭП предоставит амнистию всем нелегальным иммигрантам (Одна из трёх тем по жребию)","731. Миграция и демография. Миграция, беженцы, мобильность","",""
